header_genome,header_mitogenome,organism,uL01m,uL02m,uL03m,uL04m,uL05m,uL06m,bL07m,bL09m,uL10m,uL11m,uL13m,uL14m,uL15m,uL16m,bL17m,uL18m,bL19m,bL20m,bL21m,uL22m,uL23m,uL24m,bL25m,bL27m,bL28m,uL29m,uL30m,bL31m,bL32m,bL33m,bL34m,bL35m,bL36m,mL38,mL40,mL41,mL42,mL43,mL44,mL45,mL46,mL49,mL50,mL52,mL53,mL54,mL59,mL60,mL61,mL73,mL80,mL84,mL87,bS01m,uS02m,uS03m,uS04m,uS05m,bS06m,uS07m,uS08m,uS09m,uS10m,uS11m,uS12m,uS13m,uS14m,uS15m,bS16m,uS17m,bS18m,uS19m,bS21m,mS22,mS23,mS26,mS27,mS29,mS31,mS33,mS34,mS35,mS37,mS38,mS41,mS42,mS43,mS44,mS47,mS49,mS56,mS60,mS63,mS67
Phytophthora,Phytophthora*,Phytophthora infestans,yes,yes_mt,yes,yes,yes_mt,yes_mt,yes,yes,no,yes,yes,yes_mt,yes,yes_mt,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,no,yes,no,yes,no,no,yes,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,yes_mt,yes_mt,yes_mt,yes,yes,yes_mt,yes_mt,yes,yes_mt,yes_mt,yes_mt,yes_mt,yes_mt,no,yes,yes,no,yes_mt,no,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no
,Apolyphaga,Acanthamoeba polyphaga,,yes_mt,,,yes_mt,yes_mt,,,,yes_mt,,yes_mt,,yes_mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes_mt,yes_mt,yes_mt,,,yes_mt,yes_mt,,,yes_mt,yes_mt,yes_mt,yes_mt,,,,,yes_mt,,,,,,,,,,,,,,,,,,,,,,
,Dcitrinum,Dictyostelium citrinum,,yes_mt,,,yes_mt,yes_mt,,,,yes_mt,,yes_mt,,yes_mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes_mt,yes_mt,yes_mt,,,yes_mt,yes_mt,,,yes_mt,yes_mt,yes_mt,yes_mt,,,,,yes_mt,,,,,,,,,,,,,,,,,,,,,,
,Polysphondylium,Heterostelium pallidum,,yes_mt,,,yes_mt,yes_mt,,,,yes_mt,,yes_mt,,yes_mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes_mt,yes_mt,yes_mt,,,yes_mt,yes_mt,,,yes_mt,yes_mt,yes_mt,yes_mt,,,,,yes_mt,,,,,,,,,,,,,,,,,,,,,,
,Hartmannella,Hartmannella,,yes_mt,,,,yes_mt,,,,yes_mt,,yes_mt,,yes_mt,,,yes_mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes_mt,yes_mt,yes_mt,,,yes_mt,yes_mt,,,yes_mt,yes_mt,yes_mt,yes_mt,,yes_mt,,,yes_mt,,,,,,,,,,,,,,,,,,,,,,
,Pumbilicalis,Porphyra umbilicalis,,,,,,,,,,,,,,yes_mt,,,,yes_mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes_mt,,,,,,,,yes_mt,yes_mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nephroselmis,Nephroselmis olivacea,,,,,yes_mt,yes_mt,,,,,,yes_mt,,yes_mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes_mt,yes_mt,yes_mt,,,yes_mt,yes_mt,,yes_mt,yes_mt,yes_mt,yes_mt,yes_mt,,,,,yes_mt,,,,,,,,,,,,,,,,,,,,,,
,Protwickerhamii,Prototheca wickerhamii,,,,,yes_mt,yes_mt,,,,,,,,yes_mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes_mt,yes_mt,yes_mt,,,yes_mt,,,yes_mt,yes_mt,yes_mt,yes_mt,yes_mt,,,,,yes_mt,,,,,,,,,,,,,,,,,,,,,,
,Protzopfii,Prototheca zopfii,,,,,yes_mt,yes_mt,,,yes_mt,,,,,yes_mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes_mt,yes_mt,yes_mt,,,yes_mt,,,yes_mt,yes_mt,yes_mt,yes_mt,yes_mt,,,,,yes_mt,,,,,,,,,,,,,,,,,,,,,,
,Chara-vulgaris,Chara vulgaris,,yes_mt,,,yes_mt,yes_mt,,,,,,yes_mt,,yes_mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes_mt,yes_mt,yes_mt,yes_mt,,,yes_mt,,,yes_mt,yes_mt,yes_mt,,yes_mt,,,,,yes_mt,,,,,,,,,,,,,,,,,,,,,,
,Mpaleacea,Marchantia paleacea,,yes_mt,,,yes_mt,yes_mt,,,,,,,,yes_mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes_mt,,yes_mt,,,,yes_mt,yes_mt,,yes_mt,yes_mt,yes_mt,yes_mt,yes_mt,,,,,yes_mt,,,,,,,,,,,,,,,,,,,,,,
,Rhodomonas,Rhodomonas salina,,,,,yes_mt,yes_mt,,,,,,yes_mt,,yes_mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes_mt,yes_mt,yes_mt,,,yes_mt,yes_mt,,,yes_mt,yes_mt,yes_mt,yes_mt,,,,,yes_mt,,,,,,,,,,,,,,,,,,,,,,
,Leucocryptos,Leucocryptos marina,,yes_mt,,,yes_mt,yes_mt,,,,,,yes_mt,,yes_mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes_mt,yes_mt,yes_mt,,,,yes_mt,,,yes_mt,,yes_mt,yes_mt,,,,,yes_mt,,,,,,,,,,,,,,,,,,,,,,
,Acrasis,Acrasis kona,,,,,yes_mt,yes_mt,,,,,,yes_mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes_mt,yes_mt,,,yes_mt,yes_mt,,,,,yes_mt,yes_mt,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EukBB2,Heterolobosea sp. BB2,,yes_mt,,,yes_mt,yes_mt,,,yes_mt,yes_mt,,yes_mt,,yes_mt,,,,,,,,,,,,,,,yes_mt,,,,,,,,,,,,,,,,,,,,,,,,,,yes_mt,yes_mt,,,,yes_mt,yes_mt,,yes_mt,yes_mt,yes_mt,yes_mt,yes_mt,,,,,yes_mt,,,,,,,,,,,,,,,,,,,,,,
,Histiona,Histiona aroides,yes_mt,yes_mt,,,yes_mt,yes_mt,,,yes_mt,yes_mt,,yes_mt,,yes_mt,,yes_mt,yes_mt,yes_mt,,,,,,yes_mt,,,,yes_mt,yes_mt,,yes_mt,,,,,,,,,,,,,,,,,,,,,,,yes_mt,yes_mt,yes_mt,yes_mt,,,yes_mt,yes_mt,,yes_mt,yes_mt,yes_mt,yes_mt,yes_mt,,,,,yes_mt,,,,,,,,,,,,,,,,,,,,,,
,JakoLibe,Jakoba libera,yes_mt,yes_mt,,,yes_mt,yes_mt,,,yes_mt,yes_mt,,yes_mt,,yes_mt,,,,yes_mt,,,,,,yes_mt,,,,yes_mt,yes_mt,,yes_mt,,,,,,,,,,,,,,,,,,,,,,,,yes_mt,yes_mt,yes_mt,,,yes_mt,yes_mt,,yes_mt,yes_mt,yes_mt,yes_mt,yes_mt,,,,,yes_mt,,,,,,,,,,,,,,,,,,,,,,
,SecuEqua,Seculamonas ecuadoriensis,,yes_mt,,,yes_mt,yes_mt,,,yes_mt,yes_mt,,yes_mt,,yes_mt,,,yes_mt,yes_mt,,,,,,yes_mt,,,,yes_mt,yes_mt,,yes_mt,,,,,,,,,,,,,,,,,,,,,,,yes_mt,yes_mt,yes_mt,yes_mt,,,yes_mt,yes_mt,,yes_mt,yes_mt,yes_mt,yes_mt,yes_mt,,,,,yes_mt,,,,,,,,,,,,,,,,,,,,,,
,Chrysochromparva,Chrysochromulina parva,,,,,,,,,,,,,,yes_mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes_mt,,,,,yes_mt,,,,yes_mt,,yes_mt,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nuclearia,Nuclearia simplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes_mt,yes_mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Euplotes,Euplotes minuta,,yes_mt,,,,,,,,,,yes_mt,,yes_mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes_mt,yes_mt,,,,,,,,yes_mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nyctotherus,Nyctotherus ovalis,,yes_mt,,,,yes_mt,,,,,,yes_mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes_mt,,,,yes_mt,,,,yes_mt,,yes_mt,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tmalaccensis,Tetrahymena malaccensis,,yes_mt,,,,yes_mt,,,yes_mt,,,yes_mt,,yes_mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes_mt,yes_mt,yes_mt,,,yes_mt,,,yes_mt,,yes_mt,yes_mt,yes_mt,,,,,yes_mt,,,,,,,,,,,,,,,,,,,,,,
,Tparavorax,Tetrahymena paravorax,,yes_mt,,,,yes_mt,,,,,,yes_mt,,yes_mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes_mt,yes_mt,yes_mt,,,yes_mt,,,yes_mt,,yes_mt,yes_mt,yes_mt,,,,,yes_mt,,,,,,,,,,,,,,,,,,,,,,
,Tpigmentosa,Tetrahymena pigmentosa,,yes_mt,,,,yes_mt,,,,,,yes_mt,,yes_mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes_mt,yes_mt,yes_mt,,,yes_mt,,,yes_mt,,yes_mt,yes_mt,yes_mt,,,,,yes_mt,,,,,,,,,,,,,,,,,,,,,,
,Acavperu,Acavomonas peruviana,,yes_mt,,,,yes_mt,,,,,,yes_mt,,yes_mt,,,,,,,,,,,,,,,yes_mt,,,,,,,,,,,,,,,,,,,,,,,,,,,yes_mt,,,,,,,yes_mt,yes_mt,yes_mt,yes_mt,yes_mt,,,,,yes_mt,,,,,,,,,,,,,,,,,,,,,,
,Colpviet,Colponema vietnamica,,,,,,yes_mt,,,,,,yes_mt,,yes_mt,,,,,,,,,,,,,,,yes_mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes_mt,,,,,yes_mt,,,,,,,,,,,,,,,,,,,,,,
,Paracercomonas,Paracercomonas marina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes_mt,yes_mt,,,,yes_mt,,,,yes_mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BlastDMP,Blastocystis sp. DMP,,yes_mt,,,,yes_mt,,,,,,yes_mt,,yes_mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes_mt,,,,,,yes_mt,,yes_mt,yes_mt,yes_mt,,,,,yes_mt,,,,,,,,,,,,,,,,,,,,,,
,BlastST4,Blastocystis sp. ST4,,yes_mt,,,,yes_mt,,,,,,yes_mt,,yes_mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes_mt,yes_mt,,,yes_mt,yes_mt,,yes_mt,yes_mt,yes_mt,yes_mt,yes_mt,,,,,yes_mt,,,,,,,,,,,,,,,,,,,,,,
,Sargassum,Sargassum fluitans,,yes_mt,,,yes_mt,yes_mt,,,,,,yes_mt,,yes_mt,,,,,,,,,,,,,,yes_mt,,,,,,,,,,,,,,,,,,,,,,,,,,,yes_mt,yes_mt,yes_mt,,,yes_mt,yes_mt,,yes_mt,yes_mt,yes_mt,yes_mt,yes_mt,,,,,yes_mt,,,,,,,,,,,,,,,,,,,,,,
,Pscubensis,Pseudoperonospora cubensis,,yes_mt,,,yes_mt,yes_mt,,,,,,yes_mt,,yes_mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes_mt,yes_mt,yes_mt,,,yes_mt,yes_mt,,yes_mt,yes_mt,yes_mt,yes_mt,yes_mt,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pshumuli,Pseudoperonospora humuli,,yes_mt,,,yes_mt,yes_mt,,,,,,yes_mt,,yes_mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes_mt,yes_mt,yes_mt,,,yes_mt,yes_mt,,yes_mt,yes_mt,yes_mt,yes_mt,yes_mt,,,,,yes_mt,,,,,,,,,,,,,,,,,,,,,,
,MN082145,Telonemia sp.,,yes_mt,,,yes_mt,yes_mt,,,yes_mt,,,yes_mt,,yes_mt,,yes_mt,,,,,,,,,,,,yes_mt,yes_mt,,,,,,,,,,,,,,,,,,,,,,,,,yes_mt,yes_mt,yes_mt,yes_mt,,,yes_mt,yes_mt,,yes_mt,yes_mt,yes_mt,yes_mt,yes_mt,,,,,yes_mt,,,,,,,,,,,,,,,,,,,,,,
,,Rhyzophidium sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chlorokybus,Chlorokybus atmophyticus,,yes_mt,,,yes_mt,yes_mt,,,,,,yes_mt,,yes_mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes_mt,yes_mt,yes_mt,yes_mt,,,yes_mt,yes_mt,,yes_mt,yes_mt,yes_mt,yes_mt,yes_mt,,,,,yes_mt,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
